"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"49","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,9,0.0025,100,"Spearman",0.396974513619569
"50","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,10,0.0025,100,"Spearman",0.345507224867683
"51","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,1,0.0025,100,"Pearson",0.400161613047512
"52","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,2,0.0025,100,"Pearson",0.367902507144587
"53","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,3,0.0025,100,"Pearson",0.41369900433775
"54","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,4,0.0025,100,"Pearson",0.358351813148915
"55","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,5,0.0025,100,"Pearson",0.33988646675914
"56","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,6,0.0025,100,"Pearson",0.394887325864107
"57","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,7,0.0025,100,"Pearson",0.413688382002916
"58","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,8,0.0025,100,"Pearson",0.361199152090015
"59","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,9,0.0025,100,"Pearson",0.366898404550323
"60","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",1,10,0.0025,100,"Pearson",0.370476491782181
"61","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,1,0.0025,100,"Pearson",0.451412774017077
"62","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,2,0.0025,100,"Pearson",0.476255434546391
"63","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,3,0.0025,100,"Pearson",0.495892606688928
"64","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,4,0.0025,100,"Pearson",0.444063991280249
"65","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,5,0.0025,100,"Pearson",0.469664280982383
"66","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,6,0.0025,100,"Pearson",0.482385702043501
"67","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,7,0.0025,100,"Pearson",0.437017095880631
"68","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,8,0.0025,100,"Pearson",0.463683743757337
"69","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,9,0.0025,100,"Pearson",0.489383282464061
"70","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",2,10,0.0025,100,"Pearson",0.454990757540848
"71","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,1,0.0025,100,"Pearson",0.361650877420013
"72","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,2,0.0025,100,"Pearson",0.33633586683891
"73","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,3,0.0025,100,"Pearson",0.372935854413661
"74","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,4,0.0025,100,"Pearson",0.361251102700439
"75","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,5,0.0025,100,"Pearson",0.378321609559371
"76","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,6,0.0025,100,"Pearson",0.389795120692054
"77","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,7,0.0025,100,"Pearson",0.351406107404037
"78","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,8,0.0025,100,"Pearson",0.362739578818769
"79","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,9,0.0025,100,"Pearson",0.401476694958703
"80","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",3,10,0.0025,100,"Pearson",0.354387806566106
"81","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,1,0.0025,100,"Pearson",0.261221617186219
"82","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,2,0.0025,100,"Pearson",0.221755099651681
"83","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,3,0.0025,100,"Pearson",0.230350252714624
"84","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,4,0.0025,100,"Pearson",0.216656526446145
"85","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,5,0.0025,100,"Pearson",0.227721284550479
"86","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,6,0.0025,100,"Pearson",0.238729796068352
"87","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,7,0.0025,100,"Pearson",0.247517124482277
"88","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,8,0.0025,100,"Pearson",0.235199723089376
"89","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,9,0.0025,100,"Pearson",0.205993735101334
"90","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",4,10,0.0025,100,"Pearson",0.20719600290056
"91","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,1,0.0025,100,"Pearson",0.260823375238504
"92","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,2,0.0025,100,"Pearson",0.252831891237594
"93","GBM_Model_1_eta_0.0025_ntrees_100","HET_1",5,3,0.0025,100,"Pearson",0.23170892492192
