"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"48","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,8,0.0025,100,"Spearman",0.156612460852077
"49","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,9,0.0025,100,"Spearman",0.1125304192728
"50","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,10,0.0025,100,"Spearman",0.088974232912606
"51","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,1,0.0025,100,"Pearson",-0.00769894475063354
"52","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,2,0.0025,100,"Pearson",-0.00606251414602514
"53","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,3,0.0025,100,"Pearson",-0.013303011249918
"54","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,4,0.0025,100,"Pearson",0.00712286616217384
"55","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,5,0.0025,100,"Pearson",-0.0145753986023068
"56","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,6,0.0025,100,"Pearson",-0.012389062530552
"57","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,7,0.0025,100,"Pearson",-0.0107962314219189
"58","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,8,0.0025,100,"Pearson",-0.0139837420326543
"59","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,9,0.0025,100,"Pearson",0.0290192578044541
"60","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,10,0.0025,100,"Pearson",0.000263933604546878
"61","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,1,0.0025,100,"Pearson",0.0698899944360084
"62","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,2,0.0025,100,"Pearson",0.072805236439417
"63","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,3,0.0025,100,"Pearson",0.103917515676877
"64","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,4,0.0025,100,"Pearson",0.0621334945050296
"65","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,5,0.0025,100,"Pearson",0.111724228713439
"66","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,6,0.0025,100,"Pearson",0.0540855550230616
"67","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,7,0.0025,100,"Pearson",0.0781688778954389
"68","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,8,0.0025,100,"Pearson",0.0894747668645011
"69","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,9,0.0025,100,"Pearson",0.0788490145790893
"70","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,10,0.0025,100,"Pearson",0.0868139633554546
"71","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,1,0.0025,100,"Pearson",0.196108014168623
"72","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,2,0.0025,100,"Pearson",0.242950536038446
"73","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,3,0.0025,100,"Pearson",0.230673734793832
"74","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,4,0.0025,100,"Pearson",0.220608504216197
"75","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,5,0.0025,100,"Pearson",0.190397906825954
"76","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,6,0.0025,100,"Pearson",0.208548525574664
"77","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,7,0.0025,100,"Pearson",0.246289635979983
"78","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,8,0.0025,100,"Pearson",0.207398189515755
"79","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,9,0.0025,100,"Pearson",0.219946840701092
"80","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,10,0.0025,100,"Pearson",0.192009462701085
"81","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,1,0.0025,100,"Pearson",0.150638401845826
"82","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,2,0.0025,100,"Pearson",0.163662520260187
"83","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,3,0.0025,100,"Pearson",0.1560435504334
"84","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,4,0.0025,100,"Pearson",0.123712873501186
"85","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,5,0.0025,100,"Pearson",0.15498650012412
"86","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,6,0.0025,100,"Pearson",0.164548707476856
"87","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,7,0.0025,100,"Pearson",0.162726177928544
"88","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,8,0.0025,100,"Pearson",0.138728599936116
"89","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,9,0.0025,100,"Pearson",0.175929974631912
"90","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,10,0.0025,100,"Pearson",0.166144885440204
"91","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,1,0.0025,100,"Pearson",0.132303543389436
"92","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,2,0.0025,100,"Pearson",0.121410962837887
"93","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,3,0.0025,100,"Pearson",0.107147276871189
"94","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,4,0.0025,100,"Pearson",0.138840450639225
"95","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,5,0.0025,100,"Pearson",0.117541790315937
"96","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,6,0.0025,100,"Pearson",0.116256382914858
"97","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,7,0.0025,100,"Pearson",0.10833928790861
"98","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,8,0.0025,100,"Pearson",0.129465696015094
"99","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,9,0.0025,100,"Pearson",0.122669295108235
"100","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,10,0.0025,100,"Pearson",0.106418673419476
"101","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,1,0.0025,100,"R_squared",-0.136006838334396
"102","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,2,0.0025,100,"R_squared",-0.134255657277522
"103","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,3,0.0025,100,"R_squared",-0.134581606740421
"104","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,4,0.0025,100,"R_squared",-0.133031132986693
"105","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,5,0.0025,100,"R_squared",-0.134066036180856
"106","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,6,0.0025,100,"R_squared",-0.136104928380705
"107","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,7,0.0025,100,"R_squared",-0.135230258954631
"108","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,8,0.0025,100,"R_squared",-0.133434521692789
"109","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,9,0.0025,100,"R_squared",-0.132103892644456
"110","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,10,0.0025,100,"R_squared",-0.134444722197305
"111","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,1,0.0025,100,"R_squared",-0.127523517004009
"112","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,2,0.0025,100,"R_squared",-0.126361614591229
"113","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,3,0.0025,100,"R_squared",-0.125966334740393
"114","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,4,0.0025,100,"R_squared",-0.126231635131445
"115","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,5,0.0025,100,"R_squared",-0.125048750019707
"116","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,6,0.0025,100,"R_squared",-0.127418903852358
"117","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,7,0.0025,100,"R_squared",-0.125978890528445
"118","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,8,0.0025,100,"R_squared",-0.125451890944106
"119","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,9,0.0025,100,"R_squared",-0.125353728214449
"120","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",2,10,0.0025,100,"R_squared",-0.124976984523836
"121","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,1,0.0025,100,"R_squared",-0.0539863684718547
"122","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,2,0.0025,100,"R_squared",-0.0512317872851753
"123","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,3,0.0025,100,"R_squared",-0.0524240853702562
"124","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,4,0.0025,100,"R_squared",-0.0528747862397454
"125","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,5,0.0025,100,"R_squared",-0.053784676734127
"126","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,6,0.0025,100,"R_squared",-0.0532354040568956
"127","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,7,0.0025,100,"R_squared",-0.0520298862105522
"128","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,8,0.0025,100,"R_squared",-0.052699009220829
"129","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,9,0.0025,100,"R_squared",-0.0532503102881263
"130","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",3,10,0.0025,100,"R_squared",-0.0541319473785695
"131","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,1,0.0025,100,"R_squared",-0.00370256209173259
"132","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,2,0.0025,100,"R_squared",-0.000996544331124172
"133","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,3,0.0025,100,"R_squared",-0.00237541515564899
"134","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,4,0.0025,100,"R_squared",-0.00489151437467661
"135","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,5,0.0025,100,"R_squared",-0.00266567472794987
"136","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,6,0.0025,100,"R_squared",-0.00174674415642961
"137","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,7,0.0025,100,"R_squared",-0.00315567671822814
"138","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,8,0.0025,100,"R_squared",-0.00377148244603265
"139","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,9,0.0025,100,"R_squared",-5.36231943017995e-05
"140","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",4,10,0.0025,100,"R_squared",-0.00165975872024671
"141","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,1,0.0025,100,"R_squared",-0.0264908775473589
"142","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,2,0.0025,100,"R_squared",-0.0268318814331681
"143","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,3,0.0025,100,"R_squared",-0.0271535062155124
"144","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,4,0.0025,100,"R_squared",-0.0255842135174555
"145","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,5,0.0025,100,"R_squared",-0.0272954189276171
"146","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,6,0.0025,100,"R_squared",-0.0263232180791584
"147","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,7,0.0025,100,"R_squared",-0.0274629638865647
"148","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,8,0.0025,100,"R_squared",-0.0255140422680362
"149","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,9,0.0025,100,"R_squared",-0.0272063959158806
"150","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",5,10,0.0025,100,"R_squared",-0.0272258039850082
"151","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,1,0.0025,100,"MSE",0.565588053968694
"152","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,2,0.0025,100,"MSE",0.564716186782088
"153","GBM_Model_1_eta_0.0025_ntrees_100","GY_1",1,3,0.0025,100,"MSE",0.564878468483388
