model_number,subset,iteration,eta,nround,correlation
15,1,9,0.0815,2060,0.997902049784157
15,1,10,0.0815,2060,0.998091820820738
15,2,1,0.0815,2060,0.997773949575913
15,2,2,0.0815,2060,0.997976854214825
15,2,3,0.0815,2060,0.998080209954909
15,2,4,0.0815,2060,0.997763100078335
15,2,5,0.0815,2060,0.997924700489626
15,2,6,0.0815,2060,0.998200125454454
15,2,7,0.0815,2060,0.998029198282087
15,2,8,0.0815,2060,0.998032243755091
15,2,9,0.0815,2060,0.998194795876696
15,2,10,0.0815,2060,0.997798123017885
15,3,1,0.0815,2060,0.998288444171578
15,3,2,0.0815,2060,0.998323086427003
15,3,3,0.0815,2060,0.998438433717041
15,3,4,0.0815,2060,0.99847345665659
15,3,5,0.0815,2060,0.998473646998653
15,3,6,0.0815,2060,0.998446999109865
15,3,7,0.0815,2060,0.998445666715426
15,3,8,0.0815,2060,0.998559491268962
15,3,9,0.0815,2060,0.998466223658205
15,3,10,0.0815,2060,0.998546548008694
15,4,1,0.0815,2060,0.998231531894811
15,4,2,0.0815,2060,0.998146068308627
15,4,3,0.0815,2060,0.998146448992753
15,4,4,0.0815,2060,0.9978266743273
15,4,5,0.0815,2060,0.998061937116883
15,4,6,0.0815,2060,0.998070692851771
15,4,7,0.0815,2060,0.998117516999212
15,4,8,0.0815,2060,0.998088394663608
15,4,9,0.0815,2060,0.998253992258217
15,4,10,0.0815,2060,0.998073738324775
15,5,1,0.0815,2060,0.99874355204366
15,5,2,0.0815,2060,0.99851742567309
15,5,3,0.0815,2060,0.99873327357227
15,5,4,0.0815,2060,0.9984273938774
15,5,5,0.0815,2060,0.998617355256044
15,5,6,0.0815,2060,0.998645716223396
15,5,7,0.0815,2060,0.998710242182675
15,5,8,0.0815,2060,0.998689875581959
15,5,9,0.0815,2060,0.998708338762048
15,5,10,0.0815,2060,0.998611644994161
16,1,1,0.121,2060,0.999608085692758
16,1,2,0.121,2060,0.999673182678225
16,1,3,0.121,2060,0.999640443843429
16,1,4,0.121,2060,0.999554409231057
16,1,5,0.121,2060,0.999646154105312
16,1,6,0.121,2060,0.999660239417957
16,1,7,0.121,2060,0.999653767787823
16,1,8,0.121,2060,0.999658145655266
16,1,9,0.121,2060,0.999617031769708
16,1,10,0.121,2060,0.999655671208451
16,2,1,0.121,2060,0.999574775831773
16,2,2,0.121,2060,0.999630546056165
